,xfix,yfix,fixdur,fixnum,t0,t1,s0,s1,item,phase,xfix_raw,yfix_raw
70736,269.69782178218,277.63599669967005,268.3567,4,0.8317013000000001,1.100058,924,1226,6429,Target,269.69782178218,277.63599669967005
70737,499.943145967742,321.348726612904,135.0112724,1,0.0009830276,0.13599429999999998,1,124,6429,Prob,499.943145967742,321.348726612904
70738,321.067657768362,349.89719025423796,770.5433,2,0.1672795,0.9378228000000001,153,860,6429,Prob,321.067657768362,349.89719025423796
70739,229.453730500001,313.368329,198.57809275,1,2.2407249999999998e-05,0.1986005,1,200,6430,Target,229.453730500001,313.368329
70740,363.812872168283,372.396583009708,550.4897,2,0.2297563,0.780246,234,851,6430,Target,363.812872168283,372.396583009708
70741,325.40775075988097,315.89910243161097,290.9659,3,0.8091100999999999,1.100076,882,1210,6430,Target,325.40775075988097,315.89910243161097
70742,405.2653,268.3285,186.37954699999997,1,0.001102653,0.18748220000000002,1,173,6430,Prob,405.2653,268.3285
70743,294.999558176101,325.74447327044,366.24859999999995,2,0.21397729999999998,0.5802259,197,514,6430,Prob,294.999558176101,325.74447327044
70744,351.594125,361.753675,4.51290000000004,3,0.6030589,0.6075718000000001,535,538,6430,Prob,351.594125,361.753675
70745,356.909107407407,361.99089835391,263.64840000000004,4,0.6130536,0.8767020000000001,543,785,6430,Prob,356.909107407407,361.99089835391
70746,417.78461304347803,303.09066135265704,240.20239999999998,5,0.9057016,1.145904,812,1018,6430,Prob,417.78461304347803,303.09066135265704
70747,68.0693143749993,325.459699375,141.84505416,1,2.2045839999999998e-05,0.1418671,1,160,6431,Target,68.0693143749993,325.459699375
70748,324.114380281689,310.612379342723,188.5404,2,0.17259760000000002,0.361138,195,407,6431,Target,324.114380281689,310.612379342723
70749,271.935570422536,312.163557746479,125.74730000000001,3,0.38307859999999994,0.5088259,432,573,6431,Target,271.935570422536,312.163557746479
70750,350.73551376146895,430.629387155963,192.70190000000002,4,0.5474264,0.7401283000000001,598,815,6431,Target,350.73551376146895,430.629387155963
70751,345.298860262009,414.475694323144,203.3763,5,0.8970646999999999,1.100441,992,1220,6431,Target,345.298860262009,414.475694323144
70752,428.541943506493,352.592989610389,167.51300000000003,2,0.1442947,0.3118077,132,285,6431,Prob,428.541943506493,352.592989610389
70753,224.617125,316.634038541666,313.4843,3,0.3461836,0.6596679,317,604,6431,Prob,224.617125,316.634038541666
70754,362.221769090909,362.327356060606,379.1384,4,0.6864796,1.065618,629,958,6431,Prob,362.221769090909,362.327356060606
70755,444.947388461539,343.271653846154,266.208,5,1.089177,1.355385,980,1213,6431,Prob,444.947388461539,343.271653846154
70756,288.201991901408,335.813182394367,308.515,6,1.386666,1.695181,1242,1525,6431,Prob,288.201991901408,335.813182394367
70757,360.77327180851097,395.237907446809,203.475,7,1.7238040000000001,1.9272790000000002,1551,1738,6431,Prob,360.77327180851097,395.237907446809
70758,366.503132906764,458.737670566727,595.834,8,1.954434,2.550268,1763,2309,6431,Prob,366.503132906764,458.737670566727
70759,456.451256341464,338.064060243903,492.967,9,2.5848150000000003,3.077782,2341,2750,6431,Prob,456.451256341464,338.064060243903
70760,440.077556117021,398.726387234043,420.195,10,3.1090720000000003,3.529267,2779,3154,6431,Prob,440.077556117021,398.726387234043
70761,,,13.170035,1,0.007384995,0.02055503,8,23,6432,Target,,
70762,566.008106849315,413.57500684931506,135.24942000000001,2,0.04603858,0.181288,51,196,6432,Target,566.008106849315,413.57500684931506
70763,353.451566976263,363.803938390094,883.7433000000001,3,0.2169097,1.100653,235,1203,6432,Target,353.451566976263,363.803938390094
70764,405.966639698492,304.750002512562,217.46743059999997,1,0.0006136694,0.21808110000000003,1,199,6432,Prob,405.966639698492,304.750002512562
70765,278.719142009132,304.475011872146,238.7799,2,0.2452882,0.48406809999999995,223,441,6432,Prob,278.719142009132,304.475011872146
70766,359.575517584747,398.97267097457603,530.8418,3,0.5178582,1.0487,472,943,6432,Prob,359.575517584747,398.97267097457603
70767,591.361172727273,339.434575757576,29.578291349999997,1,2.2768649999999998e-05,0.02960106,1,33,6433,Target,591.361172727273,339.434575757576
70768,508.8529,363.87373333333295,4.477110000000001,2,0.05420566,0.05868277,60,65,6433,Target,508.8529,363.87373333333295
70769,504.07300000000004,362.221242857143,117.15308,3,0.06394052,0.18109360000000002,71,203,6433,Target,504.07300000000004,362.221242857143
70770,370.062365024631,414.082884236453,376.8454,4,0.2097134,0.5865588,235,640,6433,Target,370.062365024631,414.082884236453
70771,372.94946666666704,428.286683333333,4.72220000000001,5,0.5891941999999999,0.5939164000000001,643,648,6433,Target,372.94946666666704,428.286683333333
70772,336.74586889952,381.790020095695,371.411,6,0.728769,1.10018,799,1216,6433,Target,336.74586889952,381.790020095695
70773,165.613535042735,450.702535897436,131.03433779999997,1,0.0007607622,0.1317951,1,117,6433,Prob,165.613535042735,450.702535897436
70774,339.840480989584,439.323980729166,418.6519,2,0.1611515,0.5798034000000001,144,527,6433,Prob,339.840480989584,439.323980729166
70775,345.695210526316,473.771657894737,61.61559999999999,3,0.5994303000000001,0.6610459,545,601,6433,Prob,345.695210526316,473.771657894737
70776,336.61427372262796,337.121425912409,243.56279999999998,2,0.1893683,0.43293109999999996,214,487,6434,Target,336.61427372262796,337.121425912409
70777,358.882525525526,449.825657057057,293.63509999999997,3,0.4590724,0.7527075,517,849,6434,Target,358.882525525526,449.825657057057
70778,374.32052032520403,408.100694850949,326.5672,4,0.7740298000000001,1.1005969999999998,873,1241,6434,Target,374.32052032520403,408.100694850949
70779,124.87793703703699,250.924069444445,145.9268037,1,0.0003277963,0.1462546,1,108,6434,Prob,124.87793703703699,250.924069444445
70780,346.827874331552,335.104576203208,408.29040000000003,2,0.173534,0.5818244,133,506,6434,Prob,346.827874331552,335.104576203208
70781,431.39099999999996,328.952681962864,422.97790000000003,3,0.6065251,1.029503,527,903,6434,Prob,431.39099999999996,328.952681962864
70782,271.781219230769,311.57080213675204,214.80960149999999,1,2.52985e-05,0.21483490000000002,1,234,6435,Target,271.781219230769,311.57080213675204
70783,363.534343936383,343.88271371769304,458.07570000000004,2,0.243252,0.7013276999999999,266,768,6435,Target,363.534343936383,343.88271371769304
70784,345.318162679427,398.480402870814,372.8215,3,0.7278015,1.100623,798,1215,6435,Target,345.318162679427,398.480402870814
70785,701.168279831933,431.27118235294097,129.3563331,1,0.0007054669000000001,0.1300618,1,119,6435,Prob,701.168279831933,431.27118235294097
70786,343.706226196474,326.36531662468497,451.1273,2,0.1696084,0.6207357,155,551,6435,Prob,343.706226196474,326.36531662468497
70787,363.89239875,417.17946125,85.70230000000001,3,0.6296845,0.7153868,559,638,6435,Prob,363.89239875,417.17946125
70788,606.582116326531,280.5095,130.52433134999998,1,2.2768649999999998e-05,0.1305471,1,147,6436,Target,606.582116326531,280.5095
70789,322.568048186528,280.170426424871,171.0602,2,0.17101970000000002,0.34207990000000005,193,385,6436,Target,322.568048186528,280.170426424871
70790,300.359960648148,327.939013888889,192.2076,3,0.3683921,0.5605996999999999,415,630,6436,Target,300.359960648148,327.939013888889
70791,343.77215217391296,398.928367505721,387.9518,4,0.5912669,0.9792187,665,1101,6436,Target,343.77215217391296,398.928367505721
70792,351.984794059406,430.718395049505,89.4538,5,0.9976722,1.087126,1122,1222,6436,Target,351.984794059406,430.718395049505
70793,300.96315254237203,274.762564406779,128.0122,2,0.16532070000000001,0.2933329,147,264,6436,Prob,300.96315254237203,274.762564406779
70794,366.364309090909,318.017886363636,238.931,3,0.3182382,0.5571691999999999,287,506,6436,Prob,366.364309090909,318.017886363636
70795,343.294610894942,483.563405836576,281.6219,4,0.5983526,0.8799745000000001,544,800,6436,Prob,343.294610894942,483.563405836576
70796,352.898990712075,330.798683591332,351.29390000000006,5,0.9104360999999999,1.26173,828,1150,6436,Prob,352.898990712075,330.798683591332
70797,452.5816,317.4977,4.2819999999999,6,1.285614,1.289896,1172,1176,6436,Prob,452.5816,317.4977
70798,454.06652195122,321.912277560976,238.28000000000003,7,1.29324,1.53152,1179,1383,6436,Prob,454.06652195122,321.912277560976
70799,316.60268503937,386.43191653543295,138.404,8,1.5665,1.7049040000000002,1415,1541,6436,Prob,316.60268503937,386.43191653543295
70800,339.716428015564,450.65374533074004,575.354,9,1.7331779999999999,2.308532,1567,2080,6436,Prob,339.716428015564,450.65374533074004
70801,367.676747663552,467.81535015576304,349.10200000000003,10,2.32687,2.6759720000000002,2097,2417,6436,Prob,367.676747663552,467.81535015576304
70802,511.553027027027,411.427815315315,121.45701000000001,1,0.06611909,0.1875761,74,184,6437,Target,511.553027027027,411.427815315315
70803,337.146925931034,362.80183172413695,643.8421999999999,2,0.2199687,0.8638109,220,944,6437,Target,337.146925931034,362.80183172413695
70804,344.45915,439.4071,6.13019999999997,3,0.8869246999999999,0.8930549000000001,970,977,6437,Target,344.45915,439.4071
70805,346.97266946902704,444.699107522124,200.2931,4,0.9003839,1.1006770000000001,985,1210,6437,Target,346.97266946902704,444.699107522124
70806,536.619087218046,247.630098496241,143.83459699999997,1,0.001135903,0.1449705,1,133,6437,Prob,536.619087218046,247.630098496241
70807,356.427853258427,355.418084494382,522.9454000000001,2,0.18278640000000002,0.7057318,168,612,6437,Prob,356.427853258427,355.418084494382
70808,349.155659817352,489.23864931506796,249.90189999999998,3,0.7328449,0.9827468,637,855,6437,Prob,349.155659817352,489.23864931506796
70809,329.965262628336,322.243463449692,528.5350000000001,4,1.022262,1.550797,891,1377,6437,Prob,329.965262628336,322.243463449692
70810,348.209645695364,322.085729470199,268.8746,3,0.1823914,0.451266,144,445,6438,Target,348.209645695364,322.085729470199
70811,354.582483870968,443.139779435484,219.31629999999998,4,0.4862752,0.7055915,485,732,6438,Target,354.582483870968,443.139779435484
70812,352.201100746269,470.906308955224,247.16060000000004,5,0.7267483,0.9739089,756,1023,6438,Target,352.201100746269,470.906308955224
70813,338.474813953488,485.271692248062,115.3068,6,0.9853221999999999,1.100629,1036,1164,6438,Target,338.474813953488,485.271692248062
70814,194.783038834951,330.39792524271803,112.13889999999999,2,0.1475217,0.2596606,134,236,6438,Prob,194.783038834951,330.39792524271803
70815,400.786550151977,335.579975075988,376.42620000000005,3,0.282379,0.6588052,257,585,6438,Prob,400.786550151977,335.579975075988
70816,361.276151394422,497.77528486055803,272.6658,4,0.6989124,0.9715782,622,872,6438,Prob,361.276151394422,497.77528486055803
70817,337.21545493562303,347.29024892703796,252.95429999999996,5,0.9997427,1.252697,898,1130,6438,Prob,337.21545493562303,347.29024892703796
70818,461.684285714286,333.282742857143,6.66999999999995,6,1.277701,1.284371,1153,1159,6438,Prob,461.684285714286,333.282742857143
